Cat.,Model Name,Stock No.,Model,Ext.,Int.,Yr.,VIN,Accessories,DIS,Invoice,Total SRP,Advertised,Online,Promotable,Cmpgn.,Presold,Res.,Comments,RDR
F,Tacoma TRD Pro,S261885,7598U,0M73,ED22,2026,3TYLC5LN6TT079057,FE PJ TR 9K T6,,"63,650.40","67,878.00",67878,Online,true,No campaign,false,Y,DT#Motor Inn,None
F,Sequoia Platinum,S262014,7951S,01J9,LA21,2026,7SVAAABA9TX105148,FE HU RB 63 D5,,"79,032.40","85,933.00",85933,Online,true,No campaign,false,N,,None
F,Sequoia Platinum,S262032,7951S,04Z2,LA21,2026,7SVAAABA0TX104776,FE HU OF SO 63,,"80,538.40","87,598.00",87598,Online,true,No campaign,false,N,,None
F,Sequoia TRD Pro,S262027,7953S,0218,EB21,2026,7SVAAABA3TX105470,FE SR TR D5 T5,,"78,742.40","85,595.00",85595,Online,true,No campaign,false,N,,None
F,Tundra SR,S262214,8245A,0040,FA21,2026,5TFKB5CDXTX002848,FE SW 2T,,"41,539.40","43,984.00",43984,Online,true,No campaign,false,Y,MH BRANDT,None
F,Tundra SR5,S262015,8361A,06X3,LE13,2026,5TFLA5DBXTX452004,FE OQ SO WN WV 2T,,"55,052.40","58,779.00",58779,Online,true,No campaign,false,N,,None
F,Tundra Limited,S262016,8372A,0040,LD21,2026,5TFJA5DB0TX448132,FE LZ WS 2T,,"57,064.40","60,789.00",60789,Online,true,No campaign,false,N,,None
F,Tundra Limited,S262133,8372A,03U5,LD21,2026,5TFJA5DB9TX452664,FE LZ PC WS 2T,,"57,487.40","61,264.00",61264,Online,true,No campaign,false,N,,None
F,Tundra Limited,S262022,8372A,08X8,LD21,2026,5TFJA5DB1TX451167,FE LZ WS 2T D5 LB T7,,"57,832.40","61,642.00",61642,Online,true,No campaign,false,N,,None
F,Tundra Platinum,S262156,8375A,0089,LA21,2026,5TFNA5DB2TX452636,FE HU PC RB 2T,,"66,917.40","71,514.00",71514,Online,true,No campaign,false,N,GMP,None
F,Tundra Platinum,S262026,8375A,01G3,LA21,2026,5TFNA5DB5TX447205,FE 2T D5 LB R4 T7,,"66,649.40","71,161.00",71161,Online,true,No campaign,false,N,,None
F,Tundra Platinum,S262033,8375A,03U5,LA21,2026,5TFNA5DB5TX450394,FE PC RB 2T,,"66,383.40","70,914.00",70914,Online,true,No campaign,false,N,,None
F,Tundra 1794 Edition,S262025,8376A,01G3,LB44,2026,5TFMA5DB9TX452175,FE HU LW MJ RB,,"66,974.40","71,525.00",71525,Online,true,No campaign,false,N,,None
F,Tundra Limited,S262153,8421A,03U5,LD21,2026,5TFWC5DB4TX151316,FE LZ MO OF PC SO WS 2T,,"64,080.00","68,544.00",68544,Online,true,No campaign,false,N,,None
F,4Runner TRD Pro,S262423,8634S,01L7,EC22,2026,JTEVB5BR8T5056473,FE DG TR 2B 43 4F 5Q 8F 9V D5 F6 R5,,"67,315.40","72,359.00",72359,Online,true,No campaign,false,Y,JH#HOVENGA,None
F,4Runner Platinum,S261886,8638Q,01L0,LB81,2026,JTEVB5BR1T5054175,FE MR PT TL 63,,"61,671.40","66,154.00",66154,Online,true,No campaign,false,Y,NF#BAKER,None
F,4Runner SR5,S262034,8664Q,01L0,FA20,2026,JTEVA5BR1T5160287,FE 63 R5,,"43,167.40","46,053.00",46053,Online,true,No campaign,false,N,,None
F,4Runner SR5,S262021,8664Q,01L7,FA10,2026,JTEVA5BR2T5158015,FE 63 R5,,"43,167.40","46,053.00",46053,Online,true,No campaign,false,Y,EA HOPE,None
F,4Runner SR5,S262030,8664Q,0202,FA20,2026,JTEVA5BR4T5159196,FE 3T R2,,"43,789.40","46,760.00",46760,Online,true,No campaign,false,Y,EA LAGRONE,None
F,4Runner TRD Off-Road Premium,S262162,8672Q,01L0,EA20,2026,JTEVA5BR6T5158888,FE EC MR OP 3T 43 46 63 D5 R5 T4,,"57,230.40","61,508.00",61508,Online,true,No campaign,false,N,,None
F,4Runner TRD Sport Premium,S262023,8673Q,01L0,EA20,2026,JTEVA5BR1T5157728,FE EC MR RQ 63,,"54,696.40","58,603.00",58603,Online,true,No campaign,false,N,,None
F,4Runner TRD Sport Premium,S262028,8673Q,0202,EA20,2026,JTEVA5BRXT5159770,FE EC MR RQ 63,,"54,696.40","58,603.00",58603,Online,true,No campaign,false,N,,None
A,Prius LE,,1223A,0089,FB10,2027,JTDACAAU7V137BD86,FE PC RC 2T D1 D5 EF,,"29,831.40","31,216.00",0,Offline,false,No campaign,false,Y,SSKROB,None
A,Prius LE,S272426,1223A,0229,FB10,2027,JTDACAAU4V3086597,FE RC 2T BM C4 D5 MF,,"29,804.40","31,203.00",0,Offline,false,No campaign,false,Y,SS#BORK,None
A,Corolla LE,,1852A,01F7,FB20,2027,5YFB4MDE7VP37B734,FE LQ 2T D5 DK,,"24,722.40","26,232.00",0,Offline,false,No campaign,false,N,,None
A,Corolla LE,,1852A,0229,FB20,2027,5YFB4MDE0VP41A339,FE LQ 2T,,"24,584.40","26,064.00",0,Offline,false,No campaign,false,N,,None
A,Corolla LE,,1852A,08X8,FB20,2027,5YFB4MDE4VP39C427,FE 2T GD,,"23,713.40","25,104.00",0,Offline,false,No campaign,false,N,,None
A,Corolla SE,,1864A,0229,FC23,2027,5YFP4MCE3VP41C058,FE SO 2T,,"26,736.40","28,334.00",0,Offline,false,No campaign,false,N,,None
A,Corolla SE,,1864A,08X8,FC23,2027,5YFP4MCE4VP38C472,FE SO 2T,,"26,736.40","28,334.00",28334,Online,true,No campaign,false,N,,None
A,Corolla SE,,1864A,08X8,FC26,2027,5YFP4MCE1VP40B656,FE SO 2T,,"26,736.40","28,334.00",0,Offline,false,No campaign,false,N,,None
A,Corolla XSE,,1866A,0089,EB26,2027,5YFT4MCE9VP38A926,FE EN PC 2T,,"29,924.40","31,719.00",31719,Online,true,No campaign,false,N,,None
A,Corolla XSE,,1866A,03T3,EB20,2027,5YFT4MCE0VP38A927,FE EN PC 2T,,"29,924.40","31,719.00",31719,Online,true,No campaign,false,N,,None
A,Corolla Hybrid LE,S272416,1882A,08X8,FB20,2027,JTDBCMFEXV3171659,FE 2T GD,,"25,467.40","26,954.00",0,Offline,false,No campaign,false,Y,HS#ARTHUR,None
A,Corolla Hybrid LE AWD,S272317,1883A,0089,FB10,2027,JTDBDMHE0V3040377,FE LQ PC 2T,,"28,075.40","29,789.00",0,Offline,false,No campaign,false,Y,mh imon,None
A,C-HR XSE,S272322,2419A,01H5,EA20,2027,JTMAAAAD8VJ031023,FE CY EN SR 2T D1 K2 MF,,"42,245.40","43,899.00",0,Offline,false,No campaign,false,N,,None
A,Camry SE AWD,,2553S,01L5,EA10,2026,4T1DBADK4TU36C780,FE CP CY PC SR UP 2T 3J,,"36,004.40","38,508.00",38508,Online,true,No campaign,false,N,,None
A,Camry XLE AWD,,2555S,03U5,LA10,2026,4T1DBADK5TU37C945,FE PC PM 3J 3Y MF RF,,"39,623.40","42,418.00",42418,Online,true,No campaign,false,Y,MH Ferguson,None
A,Camry XSE AWD,,2556S,02YJ,LB20,2026,4T1DBADK5TU39E072,FE PC QP TX 2T 3J,,"41,925.40","44,963.00",44963,Offline,true,No campaign,false,Y,MG SALGE,None
A,Camry XSE,,2557S,0218,LB20,2026,4T1DAACK4TU38C385,FE PM 2T,,"38,717.40","41,424.00",41424,Online,true,No campaign,false,N,,None
A,Camry XSE,,2557S,03U5,LB20,2026,4T1DAACK8TU40H241,FE PC QP 2T,,"39,986.40","42,849.00",42849,Online,true,No campaign,false,N,,None
A,Camry Nightshade,,2558S,0218,EA20,2026,4T1DAACK6TU37C067,FE BK CP CY SR UP 2T,,"35,016.40","37,419.00",37419,Online,true,No campaign,false,N,,None
A,Camry XLE,,2560A,0089,LA10,2027,4T1DAACK0VU41M151,FE PC QP 2T 3J D5 MF,,"39,361.40","42,235.00",0,Offline,false,No campaign,false,N,EON???,None
A,Camry XLE,,2560A,08Z3,LA20,2027,4T1DAACK9VU41M150,FE PC QP 2T MF,,"39,091.40","41,922.00",0,Offline,false,No campaign,false,Y,MH HOFFMAN,None
A,Camry SE,,2561S,01L7,EA20,2026,4T1DAACK6TU40E807,FE CP 2T,,"32,204.40","34,314.00",34314,Online,true,No campaign,false,N,,None
A,Camry SE,,2561S,0218,EA20,2026,4T1DAACK9TU40D229,FE 2T,,"31,670.40","33,714.00",33714,Online,true,No campaign,false,N,,None
A,Camry SE,,2561S,0218,EA20,2026,4T1DAACKXTU40F989,FE 2T,,"31,670.40","33,714.00",33714,Online,true,No campaign,false,N,,None
A,Camry SE,,2561S,03U5,EA10,2026,4T1DAACK7TU38C221,FE PC 2T MF,,"32,227.40","34,349.00",34349,Online,true,No campaign,false,N,,None
A,Camry SE,,2561S,03U5,EA20,2026,4T1DAACK1TU40D175,FE CP CY PC SR UP 2T,,"34,501.40","36,894.00",36894,Online,true,No campaign,false,N,,None
A,Camry SE,,2561S,03U5,EA20,2026,4T1DAACKXTU40F992,FE CP CY PC SR UP 2T,,"34,501.40","36,894.00",36894,Online,true,No campaign,false,N,,None
A,Camry SE,,2561S,0795,EA10,2026,4T1DAACK6TU37C098,FE CP CY SR UP 2T,,"34,078.40","36,419.00",36419,Online,true,No campaign,false,N,GMP,None
